[2.0, '1.983', 8.0]
[3.0, '1.983', 8.0]
[4.0, '1.983', 8.3]
[5.0, '1.983', 8.5]
[6.0, '1.983', 8.8]
[7.0, '1.983', 8.9]
[8.0, '1.983', 9.0]
[9.0, '1.983', 9.1]
[10.0, '1.983', 9.2]
[11.0, '1.983', 9.4]
[12.0, '1.983', 9.6]
[1.0, '1.984', 9.6]
[2.0, '1.984', 9.7]
[3.0, '1.984', 9.8]
[4.0, '1.984', 9.9]
[5.0, '1.984', 9.9]
[6.0, '1.984', 10.0]
[7.0, '1.984', 10.1]
[8.0, '1.984', 10.2]
[9.0, '1.984', 10.3]
[10.0, '1.984', 10.4]
[11.0, '1.984', 10.4]
[12.0, '1.984', 10.5]
[1.0, '1.985', 10.4]
[2.0, '1.985', 10.4]
[3.0, '1.985', 10.4]
[4.0, '1.985', 10.4]
[5.0, '1.985', 10.4]
[6.0, '1.985', 10.4]
[7.0, '1.985', 10.4]
[8.0, '1.985', 10.4]
[9.0, '1.985', 10.4]
[10.0, '1.985', 10.4]
[11.0, '1.985', 10.5]
[12.0, '1.985', 10.5]
[1.0, '1.986', 10.4]
[2.0, '1.986', 10.3]
[3.0, '1.986', 10.4]
[4.0, '1.986', 10.4]
[5.0, '1.986', 10.5]
[6.0, '1.986', 10.5]
[7.0, '1.986', 10.6]
[8.0, '1.986', 10.6]
[9.0, '1.986', 10.7]
[10.0, '1.986', 10.8]
[11.0, '1.986', 10.8]
[12.0, '1.986', 10.9]
[1.0, '1.987', 10.8]
[2.0, '1.987', 10.8]
[3.0, '1.987', 10.8]
[4.0, '1.987', 10.7]
[5.0, '1.987', 10.7]
[6.0, '1.987', 10.6]
[7.0, '1.987', 10.6]
[8.0, '1.987', 10.6]
[9.0, '1.987', 10.5]
[10.0, '1.987', 10.5]
[11.0, '1.987', 10.5]
[12.0, '1.987', 10.5]
[1.0, '1.988', 10.3]
[2.0, '1.988', 10.3]
[3.0, '1.988', 10.2]
[4.0, '1.988', 10.2]
[5.0, '1.988', 10.1]
[6.0, '1.988', 10.1]
[7.0, '1.988', 10.0]
[8.0, '1.988', 10.0]
[9.0, '1.988', 10.0]
[10.0, '1.988', 9.9]
[11.0, '1.988', 9.9]
[12.0, '1.988', 9.9]
[1.0, '1.989', 9.8]
[2.0, '1.989', 9.7]
[3.0, '1.989', 9.7]
[4.0, '1.989', 9.7]
[5.0, '1.989', 9.7]
[6.0, '1.989', 9.6]
[7.0, '1.989', 9.6]
[8.0, '1.989', 9.6]
[9.0, '1.989', 9.6]
[10.0, '1.989', 9.6]
[11.0, '1.989', 9.6]
[12.0, '1.989', 9.6]
[1.0, '1.990', 9.5]
[2.0, '1.990', 9.5]
[3.0, '1.990', 9.5]
[4.0, '1.990', 9.4]
[5.0, '1.990', 9.4]
