Date,Taux_chomage
1983-01,8.3
1983-02,8
1983-03,8
1983-04,8.3
1983-05,8.5
1983-06,8.8
1983-07,8.9
1983-08,9
1983-09,9.1
1983-10,9.2
1983-11,9.4
1983-12,9.6
1984-01,9.6
1984-02,9.7
1984-03,9.8
1984-04,9.9
1984-05,9.9
1984-06,10
1984-07,10.1
1984-08,10.2
1984-09,10.3
1984-10,10.4
1984-11,10.4
1984-12,10.5
1985-01,10.4
1985-02,10.4
1985-03,10.4
1985-04,10.4
1985-05,10.4
1985-06,10.4
1985-07,10.4
1985-08,10.4
1985-09,10.4
1985-10,10.4
1985-11,10.5
1985-12,10.5
1986-01,10.4
1986-02,10.3
1986-03,10.4
1986-04,10.4
1986-05,10.5
1986-06,10.5
1986-07,10.6
1986-08,10.6
1986-09,10.7
1986-10,10.8
1986-11,10.8
1986-12,10.9
1987-01,10.8
1987-02,10.8
1987-03,10.8
1987-04,10.7
1987-05,10.7
1987-06,10.6
1987-07,10.6
1987-08,10.6
1987-09,10.5
1987-10,10.5
1987-11,10.5
1987-12,10.5
1988-01,10.3
1988-02,10.3
1988-03,10.2
1988-04,10.2
1988-05,10.1
1988-06,10.1
1988-07,10
1988-08,10
1988-09,10
1988-10,9.9
1988-11,9.9
1988-12,9.9
1989-01,9.8
1989-02,9.7
1989-03,9.7
1989-04,9.7
1989-05,9.7
1989-06,9.6
1989-07,9.6
1989-08,9.6
1989-09,9.6
1989-10,9.6
1989-11,9.6
1989-12,9.6
1990-01,9.5
1990-02,9.5
1990-03,9.5
1990-04,9.4
1990-05,9.4
1990-06,9.4
1990-07,9.3
1990-08,9.3
1990-09,9.3
1990-10,9.3
1990-11,9.3
1990-12,9.3
1991-01,9.2
1991-02,9.3
1991-03,9.3
1991-04,9.4
1991-05,9.4
1991-06,9.5
1991-07,9.6
1991-08,9.7
1991-09,9.8
1991-10,9.9
1991-11,10
1991-12,10.1
1992-01,10.2
1992-02,10.3
1992-03,10.3
1992-04,10.4
1992-05,10.5
1992-06,10.6
1992-07,10.7
1992-08,10.8
1992-09,10.9
1992-10,10.9
1992-11,11
1992-12,11.1
1993-01,11.2
1993-02,11.3
1993-03,11.4
1993-04,11.6
1993-05,11.7
1993-06,11.8
1993-07,11.9
1993-08,12
1993-09,12.2
1993-10,12.3
1993-11,12.4
1993-12,12.4
1994-01,12.5
1994-02,12.5
1994-03,12.5
1994-04,12.5
1994-05,12.4
1994-06,12.3
1994-07,12.3
1994-08,12.2
1994-09,12.1
1994-10,12.1
1994-11,12
1994-12,11.9
1995-01,11.8
1995-02,11.8
1995-03,11.8
1995-04,11.8
1995-05,11.9
1995-06,11.9
1995-07,11.9
1995-08,12
1995-09,12.1
1995-10,12.1
1995-11,12.2
1995-12,12.2
1996-01,12.3
1996-02,12.3
1996-03,12.3
1996-04,12.3
1996-05,12.4
1996-06,12.4
1996-07,12.4
1996-08,12.4
1996-09,12.5
1996-10,12.5
1996-11,12.5
1996-12,12.5
1997-01,12.5
1997-02,12.5
1997-03,12.5
1997-04,12.4
1997-05,12.4
1997-06,12.4
1997-07,12.4
1997-08,12.3
1997-09,12.3
1997-10,12.2
1997-11,12.2
1997-12,12.1
1998-01,12.1
1998-02,12
